DT,VALUE,QUALITY
2020-07-31,14.4,0.0
2020-08-01,14.4,0.0
2020-08-02,0.2,0.0
2020-08-03,0.1,0.0
2020-08-04,0.3,0.0
2020-08-05,14.0,0.0
2020-08-06,13.8,0.0
2020-08-07,12.3,0.0
2020-08-08,12.5,0.0
2020-08-09,13.0,0.0
2020-08-10,5.9,0.0
2020-08-11,9.7,0.0
2020-08-12,11.4,0.0
2020-08-13,12.4,0.0
2020-08-14,5.8,0.0
2020-08-15,2.7,3.0
2020-08-16,12.4,3.0
2020-08-17,10.3,3.0
2020-08-18,2.9,0.0
2020-08-19,7.4,0.0
2020-08-20,13.1,0.0
2020-08-21,13.3,0.0
2020-08-22,2.0,0.0
2020-08-23,6.6,0.0
2020-08-24,9.7,0.0
2020-08-25,11.1,0.0
2020-08-26,8.9,0.0
2020-08-27,1.9,0.0
2020-08-28,4.9,0.0
2020-08-29,0.1,0.0
2020-08-30,0.0,0.0
2020-08-31,2.8,0.0
2020-09-01,2.2,0.0
2020-09-02,8.2,0.0
2020-09-03,11.2,0.0
2020-09-04,3.5,0.0
2020-09-05,6.4,0.0
2020-09-06,7.2,0.0
2020-09-07,8.2,0.0
2020-09-08,12.4,0.0
2020-09-09,12.4,0.0
2020-09-10,2.2,0.0
2020-09-11,3.1,0.0
2020-09-12,10.2,0.0
2020-09-13,11.0,0.0
2020-09-14,11.2,0.0
2020-09-15,11.7,0.0
2020-09-16,11.0,0.0
2020-09-17,6.6,0.0
2020-09-18,12.0,0.0
2020-09-19,11.3,0.0
2020-09-20,11.6,0.0
2020-09-21,10.9,0.0
2020-09-22,10.7,0.0
2020-09-23,6.9,0.0
2020-09-24,6.2,0.0
2020-09-25,0.0,0.0
2020-09-26,0.0,0.0
2020-09-27,2.3,0.0
2020-09-28,0.0,0.0
2020-09-29,0.0,0.0
2020-09-30,5.9,0.0
2020-10-01,9.3,0.0
2020-10-02,5.2,0.0
2020-10-03,4.6,0.0
2020-10-04,9.3,0.0
2020-10-05,1.7,0.0
2020-10-06,1.3,0.0
2020-10-07,3.4,0.0
2020-10-08,5.9,0.0
2020-10-09,2.4,0.0
2020-10-10,0.0,0.0
2020-10-11,0.8,0.0
2020-10-12,2.6,0.0
2020-10-13,0.0,0.0
2020-10-14,0.0,0.0
2020-10-15,0.8,0.0
2020-10-16,0.0,0.0
2020-10-17,0.0,0.0
2020-10-18,0.2,0.0
2020-10-19,0.0,0.0
2020-10-20,4.5,0.0
2020-10-21,3.1,0.0
2020-10-22,3.0,0.0
2020-10-23,0.2,0.0
2020-10-24,7.8,0.0
2020-10-25,8.4,0.0
2020-10-26,0.0,0.0
2020-10-27,0.9,0.0
2020-10-28,2.1,0.0
2020-10-29,1.6,0.0
2020-10-30,0.0,0.0
2020-10-31,0.0,0.0
2020-11-01,0.0,0.0
2020-11-02,0.2,0.0
2020-11-03,0.3,0.0
2020-11-04,0.0,0.0
2020-11-05,3.9,0.0
2020-11-06,6.7,0.0
2020-11-07,0.0,0.0
2020-11-08,0.0,0.0
2020-11-09,0.0,0.0
2020-11-10,0.0,0.0
2020-11-11,0.0,0.0
2020-11-12,0.1,0.0
2020-11-13,0.9,0.0
2020-11-14,4.1,0.0
2020-11-15,0.4,0.0
2020-11-16,1.4,0.0
2020-11-17,1.8,0.0
2020-11-18,5.3,0.0
2020-11-19,2.3,0.0
2020-11-20,5.0,0.0
2020-11-21,7.5,0.0
2020-11-22,3.2,0.0
2020-11-23,0.0,0.0
2020-11-24,0.0,0.0
2020-11-25,0.0,0.0
2020-11-26,0.0,0.0
2020-11-27,0.0,0.0
2020-11-28,0.0,0.0
2020-11-29,3.0,0.0
2020-11-30,3.8,0.0
2020-12-01,0.0,0.0
2020-12-02,0.9,0.0
2020-12-03,0.0,0.0
2020-12-04,1.0,0.0
2020-12-05,1.1,0.0
2020-12-06,3.3,0.0
2020-12-07,0.0,0.0
2020-12-08,4.3,0.0
2020-12-09,0.0,0.0
2020-12-10,0.0,0.0
2020-12-11,0.6,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,4.3,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,1.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.4,0.0
2020-12-25,0.0,0.0
2020-12-26,3.3,0.0
2020-12-27,5.7,0.0
2020-12-28,0.2,0.0
2020-12-29,2.1,0.0
2020-12-30,5.0,0.0
2020-12-31,5.8,0.0
2021-01-01,0.4,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.2,0.0
2021-01-09,3.0,0.0
2021-01-10,0.0,0.0
2021-01-11,3.2,0.0
2021-01-12,0.0,0.0
2021-01-13,1.4,0.0
2021-01-14,0.3,0.0
2021-01-15,0.0,0.0
2021-01-16,0.6,0.0
2021-01-17,0.0,0.0
2021-01-18,0.2,0.0
2021-01-19,0.0,0.0
2021-01-20,3.9,0.0
2021-01-21,2.9,0.0
2021-01-22,5.1,0.0
2021-01-23,0.0,0.0
2021-01-24,0.1,0.0
2021-01-25,4.0,0.0
2021-01-26,0.1,0.0
2021-01-27,3.4,0.0
2021-01-28,0.0,0.0
2021-01-29,0.0,0.0
2021-01-30,0.0,0.0
2021-01-31,8.1,0.0
2021-02-01,6.8,0.0
2021-02-02,0.3,0.0
2021-02-03,0.0,0.0
2021-02-04,0.9,0.0
2021-02-05,0.2,0.0
2021-02-06,0.0,0.0
2021-02-07,0.0,0.0
2021-02-08,0.0,0.0
2021-02-09,0.0,0.0
2021-02-10,0.0,0.0
2021-02-11,0.2,3.0
2021-02-12,6.1,0.0
2021-02-13,6.5,0.0
2021-02-14,9.6,0.0
2021-02-15,6.0,0.0
2021-02-16,1.4,0.0
2021-02-17,1.8,0.0
2021-02-18,6.3,0.0
2021-02-19,6.1,0.0
2021-02-20,9.6,0.0
2021-02-21,0.0,0.0
2021-02-22,2.9,0.0
2021-02-23,5.0,0.0
2021-02-24,5.3,0.0
2021-02-25,7.4,0.0
2021-02-26,5.8,0.0
2021-02-27,0.5,0.0
2021-02-28,8.4,0.0
2021-03-01,2.4,0.0
2021-03-02,0.0,0.0
2021-03-03,0.1,0.0
2021-03-04,2.3,0.0
2021-03-05,1.2,0.0
2021-03-06,10.7,0.0
2021-03-07,10.6,0.0
2021-03-08,4.0,0.0
2021-03-09,5.1,0.0
2021-03-10,1.8,0.0
2021-03-11,0.0,0.0
2021-03-12,4.5,0.0
2021-03-13,1.5,0.0
2021-03-14,2.7,0.0
2021-03-15,3.4,0.0
2021-03-16,0.6,0.0
2021-03-17,0.0,0.0
2021-03-18,3.6,0.0
2021-03-19,1.7,0.0
2021-03-20,4.5,0.0
2021-03-21,0.0,0.0
2021-03-22,5.8,0.0
2021-03-23,0.0,0.0
2021-03-24,5.7,0.0
2021-03-25,10.7,0.0
2021-03-26,6.7,0.0
2021-03-27,1.8,0.0
2021-03-28,4.8,0.0
2021-03-29,4.5,0.0
2021-03-30,12.3,0.0
2021-03-31,11.8,0.0
2021-04-01,7.2,0.0
2021-04-02,0.2,0.0
2021-04-03,2.3,0.0
2021-04-04,10.7,0.0
2021-04-05,1.2,0.0
2021-04-06,4.5,0.0
2021-04-07,4.4,0.0
2021-04-08,4.1,0.0
2021-04-09,8.8,0.0
2021-04-10,0.2,0.0
2021-04-11,9.8,0.0
2021-04-12,0.0,0.0
2021-04-13,1.4,0.0
2021-04-14,5.1,0.0
2021-04-15,2.6,0.0
2021-04-16,0.0,0.0
2021-04-17,0.0,0.0
2021-04-18,2.0,0.0
2021-04-19,0.4,0.0
2021-04-20,8.8,0.0
2021-04-21,8.0,0.0
2021-04-22,5.3,0.0
2021-04-23,11.3,0.0
2021-04-24,9.2,0.0
2021-04-25,5.6,0.0
2021-04-26,12.8,0.0
2021-04-27,13.2,0.0
2021-04-28,11.2,0.0
2021-04-29,1.4,0.0
2021-04-30,10.8,0.0
2021-05-01,0.4,0.0
2021-05-02,0.7,0.0
2021-05-03,4.5,0.0
2021-05-04,2.6,0.0
2021-05-05,4.8,0.0
2021-05-06,2.5,0.0
2021-05-07,4.1,0.0
2021-05-08,11.8,0.0
2021-05-09,12.7,0.0
2021-05-10,13.5,0.0
2021-05-11,12.4,0.0
2021-05-12,0.4,0.0
2021-05-13,0.0,0.0
2021-05-14,0.8,0.0
2021-05-15,3.1,0.0
2021-05-16,5.9,0.0
2021-05-17,3.5,0.0
2021-05-18,5.0,0.0
2021-05-19,5.4,0.0
2021-05-20,4.6,0.0
2021-05-21,1.1,0.0
2021-05-22,5.0,0.0
2021-05-23,4.9,0.0
2021-05-24,3.3,0.0
2021-05-25,3.0,0.0
2021-05-26,0.2,3.0
2021-05-27,6.2,0.0
2021-05-28,4.1,0.0
2021-05-29,6.0,0.0
2021-05-30,6.0,0.0
2021-05-31,11.5,0.0
2021-06-01,14.0,0.0
2021-06-02,12.0,0.0
2021-06-03,14.0,0.0
2021-06-04,13.5,0.0
2021-06-05,5.4,0.0
2021-06-06,6.1,0.0
2021-06-07,11.1,0.0
2021-06-08,13.8,0.0
2021-06-09,5.4,0.0
2021-06-10,10.5,0.0
2021-06-11,6.1,0.0
2021-06-12,3.2,0.0
2021-06-13,3.3,0.0
2021-06-14,14.9,0.0
2021-06-15,11.4,0.0
2021-06-16,10.0,0.0
2021-06-17,15.3,0.0
2021-06-18,15.1,0.0
2021-06-19,10.7,0.0
2021-06-20,11.2,0.0
2021-06-21,10.3,0.0
2021-06-22,0.8,0.0
2021-06-23,1.4,0.0
2021-06-24,4.8,0.0
2021-06-25,0.4,0.0
2021-06-26,5.3,0.0
2021-06-27,13.2,0.0
2021-06-28,9.0,0.0
2021-06-29,7.9,0.0
2021-06-30,5.5,0.0
2021-07-01,5.6,0.0
2021-07-02,0.0,0.0
2021-07-03,9.3,0.0
2021-07-04,9.7,0.0
2021-07-05,4.8,0.0
2021-07-06,14.7,0.0
2021-07-07,4.7,0.0
2021-07-08,3.6,0.0
2021-07-09,4.5,0.0
2021-07-10,13.7,0.0
2021-07-11,5.5,0.0
2021-07-12,8.1,0.0
2021-07-13,8.8,0.0
2021-07-14,2.9,0.0
2021-07-15,6.9,3.0
2021-07-16,11.2,0.0
2021-07-17,0.4,0.0
2021-07-18,9.5,0.0
2021-07-19,8.1,0.0
2021-07-20,0.8,0.0
2021-07-21,4.3,0.0
2021-07-22,5.6,0.0
2021-07-23,11.7,0.0
2021-07-24,8.3,0.0
2021-07-25,6.9,0.0
2021-07-26,8.7,0.0
2021-07-27,11.0,0.0
2021-07-28,2.0,0.0
2021-07-29,11.3,0.0
2021-07-30,13.2,0.0
2021-07-31,10.9,0.0
2021-08-01,0.9,0.0
2021-08-02,4.4,0.0
2021-08-03,11.1,0.0
2021-08-04,3.0,0.0
2021-08-05,0.1,0.0
2021-08-06,5.7,0.0
2021-08-07,8.4,0.0
2021-08-08,7.7,3.0
2021-08-09,11.0,0.0
2021-08-10,10.9,0.0
2021-08-11,9.6,0.0
2021-08-12,9.2,0.0
2021-08-13,10.5,0.0
2021-08-14,12.7,0.0
2021-08-15,12.2,0.0
2021-08-16,6.3,0.0
2021-08-17,3.1,0.0
2021-08-18,2.2,0.0
2021-08-19,0.1,0.0
2021-08-20,1.6,0.0
2021-08-21,9.7,0.0
2021-08-22,1.9,0.0
2021-08-23,3.5,0.0
2021-08-24,0.7,0.0
2021-08-25,10.4,0.0
2021-08-26,3.1,0.0
2021-08-27,1.2,0.0
2021-08-28,1.3,0.0
2021-08-29,2.3,0.0
2021-08-30,3.1,0.0
2021-08-31,0.0,0.0
2021-09-01,6.8,0.0
2021-09-02,11.2,0.0
2021-09-03,10.0,0.0
2021-09-04,11.9,0.0
2021-09-05,9.8,0.0
2021-09-06,10.0,0.0
2021-09-07,3.5,0.0
2021-09-08,12.0,0.0
2021-09-09,12.1,0.0
2021-09-10,9.5,0.0
2021-09-11,3.4,3.0
2021-09-12,4.4,0.0
2021-09-13,8.4,0.0
2021-09-14,11.0,0.0
2021-09-15,3.9,0.0
2021-09-16,0.3,0.0
2021-09-17,0.0,0.0
2021-09-18,0.1,0.0
2021-09-19,0.0,0.0
2021-09-20,0.4,0.0
2021-09-21,1.1,0.0
2021-09-22,2.4,0.0
2021-09-23,9.0,0.0
2021-09-24,0.5,0.0
2021-09-25,8.9,0.0
2021-09-26,7.1,0.0
2021-09-27,0.2,0.0
2021-09-28,5.3,0.0
2021-09-29,2.0,0.0
2021-09-30,9.0,0.0
2021-10-01,10.8,0.0
2021-10-02,9.5,0.0
2021-10-03,9.8,0.0
2021-10-04,4.7,0.0
2021-10-05,2.5,0.0
2021-10-06,0.3,0.0
2021-10-07,1.1,0.0
2021-10-08,9.7,0.0
2021-10-09,10.5,0.0
2021-10-10,10.3,0.0
2021-10-11,5.4,0.0
2021-10-12,3.2,0.0
2021-10-13,4.2,0.0
2021-10-14,0.0,0.0
2021-10-15,2.2,0.0
2021-10-16,5.1,0.0
2021-10-17,0.2,0.0
2021-10-18,7.2,0.0
2021-10-19,5.4,0.0
2021-10-20,6.3,0.0
2021-10-21,5.4,0.0
2021-10-22,9.6,0.0
2021-10-23,5.5,0.0
2021-10-24,9.7,0.0
2021-10-25,6.6,0.0
2021-10-26,5.9,0.0
2021-10-27,5.7,0.0
2021-10-28,5.3,0.0
2021-10-29,6.7,0.0
2021-10-30,6.4,0.0
2021-10-31,8.2,0.0
2021-11-01,2.4,3.0
2021-11-02,0.9,0.0
2021-11-03,5.0,0.0
2021-11-04,0.2,0.0
2021-11-05,0.1,0.0
2021-11-06,6.0,0.0
2021-11-07,2.2,0.0
2021-11-08,0.3,0.0
2021-11-09,5.9,0.0
2021-11-10,4.4,0.0
2021-11-11,0.0,0.0
2021-11-12,0.0,0.0
2021-11-13,0.0,0.0
2021-11-14,0.0,0.0
2021-11-15,0.0,0.0
2021-11-16,0.0,3.0
2021-11-17,0.0,0.0
2021-11-18,5.5,0.0
2021-11-19,0.0,0.0
2021-11-20,0.0,0.0
2021-11-21,0.0,0.0
2021-11-22,0.5,0.0
2021-11-23,6.0,0.0
2021-11-24,0.0,0.0
2021-11-25,0.0,0.0
2021-11-26,0.0,0.0
2021-11-27,0.8,0.0
2021-11-28,0.0,0.0
2021-11-29,0.8,0.0
2021-11-30,0.0,0.0
2021-12-01,0.3,0.0
2021-12-02,1.0,0.0
2021-12-03,7.3,0.0
2021-12-04,0.0,0.0
2021-12-05,0.0,0.0
2021-12-06,0.0,0.0
2021-12-07,0.3,0.0
2021-12-08,1.4,0.0
2021-12-09,0.0,0.0
2021-12-10,4.6,0.0
2021-12-11,0.0,0.0
2021-12-12,6.3,0.0
2021-12-13,0.0,0.0
2021-12-14,0.0,0.0
2021-12-15,0.1,0.0
2021-12-16,0.0,0.0
2021-12-17,1.3,0.0
2021-12-18,6.8,0.0
2021-12-19,0.6,0.0
2021-12-20,3.0,0.0
2021-12-21,1.1,0.0
2021-12-22,7.0,0.0
2021-12-23,0.0,0.0
2021-12-24,0.0,0.0
2021-12-25,0.0,0.0
2021-12-26,0.2,0.0
2021-12-27,0.7,0.0
2021-12-28,0.1,0.0
2021-12-29,0.1,0.0
2021-12-30,0.3,0.0
2021-12-31,2.9,0.0
2022-01-01,0.0,0.0
2022-01-02,1.6,0.0
2022-01-03,2.9,0.0
2022-01-04,0.0,0.0
2022-01-05,0.2,0.0
2022-01-06,6.2,0.0
2022-01-07,3.3,0.0
2022-01-08,1.7,0.0
2022-01-09,0.1,0.0
2022-01-10,0.0,0.0
2022-01-11,0.2,0.0
2022-01-12,1.1,0.0
2022-01-13,0.5,0.0
2022-01-14,7.4,0.0
2022-01-15,3.8,0.0
2022-01-16,0.8,0.0
2022-01-17,0.9,0.0
2022-01-18,0.0,0.0
2022-01-19,2.0,0.0
2022-01-20,3.0,0.0
2022-01-21,5.0,0.0
2022-01-22,4.2,0.0
2022-01-23,0.1,0.0
2022-01-24,0.0,0.0
2022-01-25,0.0,0.0
2022-01-26,0.0,0.0
2022-01-27,2.0,0.0
2022-01-28,0.3,0.0
2022-01-29,0.0,0.0
2022-01-30,0.7,0.0
2022-01-31,0.0,0.0
2022-02-01,0.1,0.0
2022-02-02,1.9,0.0
2022-02-03,1.1,0.0
2022-02-04,0.4,0.0
2022-02-05,2.3,0.0
2022-02-06,0.1,0.0
2022-02-07,3.0,0.0
2022-02-08,0.4,0.0
2022-02-09,0.0,0.0
2022-02-10,5.0,0.0
2022-02-11,2.0,0.0
2022-02-12,7.5,0.0
2022-02-13,9.2,0.0
2022-02-14,9.4,0.0
2022-02-15,2.3,0.0
2022-02-16,0.9,0.0
2022-02-17,1.4,0.0
2022-02-18,1.8,0.0
2022-02-19,9.4,0.0
2022-02-20,2.2,0.0
2022-02-21,5.4,0.0
2022-02-22,1.9,0.0
2022-02-23,7.4,0.0
2022-02-24,7.1,0.0
2022-02-25,6.0,0.0
2022-02-26,0.2,0.0
2022-02-27,7.7,0.0
2022-02-28,8.8,0.0
2022-03-01,10.3,0.0
2022-03-02,9.9,0.0
2022-03-03,8.8,0.0
2022-03-04,0.0,0.0
2022-03-05,0.0,0.0
2022-03-06,0.9,0.0
2022-03-07,2.7,0.0
2022-03-08,10.7,0.0
2022-03-09,10.8,0.0
2022-03-10,10.7,0.0
2022-03-11,11.0,0.0
2022-03-12,11.2,0.0
2022-03-13,11.2,0.0
2022-03-14,8.7,0.0
2022-03-15,2.0,0.0
2022-03-16,2.2,3.0
2022-03-17,2.9,0.0
2022-03-18,4.6,0.0
2022-03-19,7.9,0.0
2022-03-20,10.3,0.0
2022-03-21,11.6,0.0
2022-03-22,11.7,0.0
2022-03-23,11.8,0.0
2022-03-24,11.4,0.0
2022-03-25,11.2,0.0
2022-03-26,11.1,0.0
2022-03-27,11.7,0.0
2022-03-28,10.2,0.0
2022-03-29,2.2,3.0
2022-03-30,0.0,0.0
2022-03-31,0.0,0.0
2022-04-01,0.0,0.0
2022-04-02,0.0,0.0
2022-04-03,3.4,0.0
2022-04-04,9.5,0.0
2022-04-05,0.3,0.0
2022-04-06,1.3,0.0
2022-04-07,2.4,3.0
2022-04-08,1.3,0.0
2022-04-09,4.6,0.0
2022-04-10,6.4,0.0
2022-04-11,11.9,0.0
2022-04-12,12.3,0.0
2022-04-13,11.2,0.0
2022-04-14,8.9,0.0
2022-04-15,5.2,0.0
2022-04-16,4.9,0.0
2022-04-17,11.5,0.0
2022-04-18,5.1,0.0
2022-04-19,3.6,0.0
2022-04-20,2.5,0.0
2022-04-21,0.3,0.0
2022-04-22,2.3,0.0
2022-04-23,11.8,0.0
2022-04-24,0.9,0.0
2022-04-25,2.2,0.0
2022-04-26,7.8,0.0
2022-04-27,6.1,0.0
2022-04-28,9.0,0.0
2022-04-29,11.0,0.0
2022-04-30,7.3,0.0
2022-05-01,3.0,0.0
2022-05-02,5.4,0.0
2022-05-03,3.9,0.0
2022-05-04,10.1,0.0
2022-05-05,2.1,0.0
2022-05-06,1.9,0.0
2022-05-07,7.0,0.0
2022-05-08,8.6,0.0
2022-05-09,13.0,0.0
2022-05-10,10.9,0.0
2022-05-11,13.0,0.0
2022-05-12,8.8,0.0
2022-05-13,10.7,0.0
2022-05-14,13.1,0.0
2022-05-15,14.2,0.0
2022-05-16,11.4,0.0
2022-05-17,4.7,0.0
2022-05-18,13.3,0.0
2022-05-19,13.4,0.0
2022-05-20,10.7,0.0
2022-05-21,7.8,0.0
2022-05-22,11.5,0.0
2022-05-23,9.0,0.0
2022-05-24,2.3,0.0
2022-05-25,5.0,0.0
2022-05-26,3.8,0.0
2022-05-27,3.5,0.0
2022-05-28,10.8,0.0
2022-05-29,5.8,0.0
2022-05-30,7.1,0.0
2022-05-31,10.5,0.0
2022-06-01,9.6,0.0
2022-06-02,12.1,3.0
2022-06-03,12.5,0.0
2022-06-04,5.0,0.0
2022-06-05,9.8,0.0
2022-06-06,5.8,0.0
2022-06-07,1.6,0.0
2022-06-08,7.7,0.0
2022-06-09,0.8,0.0
2022-06-10,12.1,0.0
2022-06-11,12.8,0.0
2022-06-12,11.6,0.0
2022-06-13,5.8,0.0
2022-06-14,13.5,0.0
2022-06-15,14.8,0.0
2022-06-16,8.9,0.0
2022-06-17,13.9,0.0
2022-06-18,13.5,0.0
2022-06-19,13.7,0.0
2022-06-20,3.4,0.0
2022-06-21,12.7,0.0
2022-06-22,11.2,0.0
2022-06-23,15.5,0.0
2022-06-24,6.4,0.0
2022-06-25,1.4,0.0
2022-06-26,13.1,0.0
2022-06-27,12.7,0.0
2022-06-28,4.7,0.0
2022-06-29,0.3,0.0
2022-06-30,7.2,0.0
2022-07-01,4.8,0.0
2022-07-02,13.9,0.0
2022-07-03,15.1,0.0
2022-07-04,3.9,0.0
2022-07-05,6.6,0.0
2022-07-06,9.2,0.0
2022-07-07,0.5,0.0
2022-07-08,5.0,3.0
2022-07-09,3.9,0.0
2022-07-10,4.0,0.0
2022-07-11,9.1,0.0
2022-07-12,9.9,0.0
2022-07-13,4.0,0.0
2022-07-14,5.9,0.0
2022-07-15,9.1,0.0
2022-07-16,8.6,0.0
2022-07-17,14.0,0.0
2022-07-18,11.8,0.0
2022-07-19,14.7,0.0
